adminID;DB_operator_code;DB_operator_name;DB_subnet_name;custom_short_name;custom_long_name;comment
8003G1;DB;DB Regio AG NRW;DB Regio NW, Erftbahn (RB 38Süd);;;
8003G2;DB;DB Regio AG NRW;DB Regio NW, TN RE 8;;;
8003H5;DB;DB Regio AG NRW;DB Regio NW, TN Interim RB27;;;
8003L1;DB;DB Regio AG NRW;DB Regio NW, Teilnetz S-Bahn Rhein-Ruhr;;;S2,S9,RB32,RE49,
8003L2;DB;DB Regio AG NRW;DB Regio NW, Teilnetz Ruhr-Sieg-Netz;;;RE34,
8003RA;DB;;Rhein-Mosel-Bus Ahrweiler (SEV);;;
8003RL;DB;DB Regio AG NRW;;;;
8003S;DB;DB Regio AG NRW;DB Regio NW, KR (Altvertrag S-Bahn);;;
8004A9;DB;DB Regio AG Südost;;;;
8004L1;DB;DB Regio AG Südost;;;;
8004NT;DB;DB Regio AG Südost;DB Regio SO, Thüringen (Neitech-Netz);;;
8004OB;OBS;DB RegioNetz Verkehrs GmbH Oberweißbacher Berg+Schwarzatalbahn;;;;
8005A4;DB;DB Regio AG Mitte;;;;
8005KG;DB;DB Regio AG Mitte;;;;
8005L1;DB;DB Regio AG Mitte;DB Regio MI, Pfalznetz Los 1;;;
8005L2;DB;DB Regio AG Mitte;DB Regio MI, Pfalznetz Los 2;;;
8005MW;DB;DB Regio AG Mitte;;;;
8005ND;DB;DB Regio AG Mitte;;;;
8005SV;DB;Rhein-Mosel-Bus Ahrweiler;DB Regio MI, SEV;;;Bus RB23,
8006A7;WFB;DB RegioNetz Verkehrs GmbH Westfrankenbahn;DB Regio RNV, WFB (Kahlgrundbahn);;;
8006C4;DB;DB Regio AG Baden-Württemberg;DB Regio BW, Freiburg, Netz 4 Los 2 ( Rheintal);;;
8006C5;DB;DB Regio AG Baden-Württemberg;DB Regio BW, Freiburg, Netz 4 Los 1 (Rheintal);;;
8006C6;DB;DB Regio AG Baden-Württemberg;DB Regio BW, Freiburg, Netz 9a (Breisgau-S-Bahn);;;
8006D1;DB;DB Regio AG Baden-Württemberg;;;;
8006D2;DB;DB Regio AG Baden-Württemberg;;;;
8006D6;DB;DB Regio AG Baden-Württemberg;DB Regio BW, Freiburg, Netz 3b (Gäu- Murrbahn);;;
8006D8;DB;DB Regio AG Baden-Württemberg;;;;
8006E3;DB;DB Regio AG Baden-Württemberg;DB Regio BW, Ulm, Netz 16b (Bodenseegürtelbahn);;;
8006SH;DB;DB Regio AG Baden-Württemberg;;;;
8007D4;DB;DB Regio AG Bayern;DB Regio BY, Allgäu (D-Netz 1);;;RB73, RE75, RE79, RB94,
8007D5;DB;DB Regio AG Bayern;DB Regio BY, Allgäu (D-Netz 2);;;RE7, RE17, RE70, RE71, RE73, RE76,
8007DU;DB;DB Regio AG Bayern;DB Regio BY, Ulm (D-Netz 1);;;RB78, RS7,
8007H1;DB;DB Regio AG Bayern;;;;
8007H2;DB;DB Regio AG Bayern;DB Regio BY, V4 (München - Buchloe);;;RB74
8007H3;DB;DB Regio AG Bayern;DB Regio BY, TN Expressverkehr Ostbayern;;;RE2
8013D;SOB;DB RegioNetz Verkehrs GmbH Südostbayernbahn;DB Regio RNV, Südostbayernbahn (D-Traktion);;;RB40, ..., auch Bus RB46
8013E;SOB;DB RegioNetz Verkehrs GmbH Südostbayernbahn;;;;
8015A1;DB;DB Regio AG Mitte;DB Regio MI, E-Netz Saar;;;
8015A6;DB;DB Regio AG Mitte;DB Regio MI, Dieselnetz Südwest;;;
8015FR;DB;DB Regio AG Mitte;;;;
8015H9;DB;DB Regio AG Mitte;;;;
80SEV;DB;DB Fernverkehr AG;;;;
80SSP;D;Sylt Shuttle Plus;;;;
80TRI;EC;DB/SBB/TI;;;;
81GE43;DPN;Nahreisezug;;;;
857LEX;LEX;LEX;;;;
85DBSH;SBB;SBB;;;;
A0;AKN;AKN Eisenbahn GmbH;;;;
A5;VEN;Rhenus Veniro;Transdev;;;RB37, RB85,
A6;AVG;Albtal-Verkehrs-Gesellschaft mbH;;;;
A6FEX;DPN;Nahreisezug;;;;
A6S1;AVG;Albtal-Verkehrs-Gesellschaft mbH;;;;
A6S11;AVG;Albtal-Verkehrs-Gesellschaft mbH;;;;
A6S12;AVG;Albtal-Verkehrs-Gesellschaft mbH;;;;
A6S31;AVG;Albtal-Verkehrs-Gesellschaft mbH;Albtal-Verkehrs-Gesellschaft mbH S31;;;
A6S32;AVG;Albtal-Verkehrs-Gesellschaft mbH;Albtal-Verkehrs-Gesellschaft mbH S32;;;
A6S34;AVG;Albtal-Verkehrs-Gesellschaft mbH;;;;
A6S4;AVG;Albtal-Verkehrs-Gesellschaft mbH;;;;
A6S41;AVG;Albtal-Verkehrs-Gesellschaft mbH;;;;
A6S42;AVG;Albtal-Verkehrs-Gesellschaft mbH;;;;
A6S5;AVG;Albtal-Verkehrs-Gesellschaft mbH;Albtal-Verkehrs-Gesellschaft mbH S5;;;
A6S51;AVG;Albtal-Verkehrs-Gesellschaft mbH;;;;
A6S52;AVG;Albtal-Verkehrs-Gesellschaft mbH;Albtal-Verkehrs-Gesellschaft mbH S52;;;
A6S6;AVG;Albtal-Verkehrs-Gesellschaft mbH;;;;
A6S7;AVG;Albtal-Verkehrs-Gesellschaft mbH;;;;
A6S71;AVG;Albtal-Verkehrs-Gesellschaft mbH;Albtal-Verkehrs-Gesellschaft mbH S71;;;
A6S8;AVG;Albtal-Verkehrs-Gesellschaft mbH;;;;
A6S81;AVG;Albtal-Verkehrs-Gesellschaft mbH;Albtal-Verkehrs-Gesellschaft mbH S81;;;
A8N;ALX;alex - Die Länderbahn GmbH DLB;alex - Die Länderbahn GmbH DLB (Nord);;;RE23,RE25
A9;ag;agilis;agilis (RB);;;RB97,RB98,RB99, ...
aav006;DPN;Nahreisezug;;;;
aavARN;DPN;Nahreisezug;;;;
aavARR;DPN;Nahreisezug;;;Arriva Nederland;Bus 350 Maastricht - Aachen
aavASE;DPN;Nahreisezug;;ASEAG;Aachener Straßenbahn und Energieversorgungs-AG;
aavDKB;DPN;Nahreisezug;;Rurtalbus;Rurtalbus GmbH;
aavNET;DPN;Nahreisezug;;;;
aavTEC;DPN;Nahreisezug;;;;
AB;ABR;SWEG Bahn Stuttgart GmbH;;;;
ABIRE;IRE;SWEG Bahn Stuttgart GmbH;;;;
ABRB;RB;SWEG Bahn Stuttgart GmbH;;;;
ABRE;RE;SWEG Bahn Stuttgart GmbH;;;;
ak_AK;AK;Autokraft;;;;
ak_DRN;DIB;Dithmarschenbus (DB Regio Bus Nord GmbH);;;;
ak_SVG;SVG;Sylter Verkehrsgesellschaft;;;;
ak_SVL;DPN;Nahreisezug;;;;
ak_SWN;DPN;Nahreisezug;;;;
ak_VIN;DPN;Nahreisezug;;;;
ak_VKP;DPN;Nahreisezug;;;;
ak_VSF;DPN;Nahreisezug;;;;
akAK_A;DPN;Nahreisezug;;;;
akAKTI;DPN;Nahreisezug;;;;
akDRNA;DPN;Nahreisezug;;;;
akECKE;DPN;Nahreisezug;;;;
akKVGK;DPN;Nahreisezug;;;;
akROH;DPN;Nahreisezug;;;;
akSFKK;DPN;Nahreisezug;;;;
akTRAN;DPN;Nahreisezug;;;;
akVINA;DPN;Nahreisezug;;;;
akWDR;DPN;Nahreisezug;;;;
AL;DWE;Dessau-Wörlitzer Eisenbahn;;;;
ald012;DPN;Nahreisezug;;;;
ald020;DPN;Nahreisezug;;SVL;Süddeutsche Verkehrslinien GmbH & Co. KG;
ald021;DPN;Nahreisezug;;;;
ald022;DPN;Nahreisezug;;;;
ald023;DPN;Nahreisezug;;;;
ald024;DPN;Nahreisezug;;;;
ald025;DPN;Nahreisezug;;;;
ald030;DPN;Nahreisezug;;;;
ald044;DPN;Nahreisezug;;;;
ald046;DPN;Nahreisezug;;;;
ald065;DPN;Nahreisezug;;;;
ald067;DPN;Nahreisezug;;;;
ald069;DPN;Nahreisezug;;;;
ald072;DPN;Nahreisezug;;bayer;Robert Bayer GmbH;
ald073;DPN;Nahreisezug;;;;
ald075;DPN;Nahreisezug;;;;
ald077;DPN;Nahreisezug;;;;
ald083;DPN;Nahreisezug;;;;
ald084;DPN;Nahreisezug;;;;
ald087;DPN;Nahreisezug;;;;
ald091;DPN;Nahreisezug;;;;
ald093;DPN;Nahreisezug;;;;
ald094;DPN;Nahreisezug;;;;
ald095;DPN;Nahreisezug;;;;
ald096;DPN;Nahreisezug;;;;
ald099;DPN;Nahreisezug;;;;
AM;ABR;Abellio Rail Mitteldeutschland GmbH;;;;
AMHBX;HBX;Abellio Rail Mitteldeutschland GmbH;;;;
AMRB;RB;Abellio Rail Mitteldeutschland GmbH;;;;
